TStamp Europe/Zagreb	X [m/s²]	Y [m/s²]	Z [m/s²]
1613949329421	0.288000	0.261000	9.827000
1613949329424	0.163000	0.199000	9.817000
1613949329426	0.166000	0.276000	9.908000
1613949329429	0.180000	0.307000	9.908000
1613949329431	0.271000	0.314000	9.879000
1613949329434	0.245000	0.202000	9.949000
1613949329436	0.237000	0.288000	9.906000
1613949329439	0.211000	0.388000	9.855000
1613949329441	0.216000	0.233000	9.865000
1613949329444	0.235000	0.314000	9.985000
1613949329446	0.252000	0.233000	9.874000
1613949329449	0.245000	0.264000	9.791000
1613949329451	0.230000	0.283000	9.877000
1613949329454	0.269000	0.266000	9.855000
1613949329457	0.269000	0.257000	9.889000
1613949329459	0.237000	0.273000	9.920000
1613949329462	0.221000	0.357000	9.942000
1613949329464	0.257000	0.283000	9.872000
1613949329467	0.221000	0.199000	9.891000
1613949329469	0.257000	0.247000	9.870000
1613949329472	0.266000	0.264000	9.889000
1613949329474	0.213000	0.269000	9.769000
1613949329477	0.252000	0.230000	9.934000
1613949329479	0.285000	0.245000	9.882000
1613949329482	0.204000	0.290000	9.913000
1613949329485	0.235000	0.209000	9.793000
1613949329487	0.245000	0.372000	9.903000
1613949329490	0.192000	0.305000	9.870000
1613949329492	0.216000	0.247000	9.898000
1613949329495	0.252000	0.214000	9.968000
1613949329497	0.213000	0.254000	9.896000
1613949329500	0.230000	0.261000	9.932000
1613949329502	0.288000	0.221000	9.918000
1613949329505	0.264000	0.341000	9.855000
1613949329507	0.295000	0.271000	9.896000
1613949329512	0.199000	0.285000	9.817000
1613949329510	0.273000	0.276000	9.874000
1613949329515	0.218000	0.357000	9.831000
1613949329518	0.209000	0.281000	9.850000
1613949329520	0.273000	0.242000	9.812000
1613949329523	0.269000	0.233000	9.922000
1613949329525	0.254000	0.317000	9.889000
1613949329528	0.204000	0.238000	9.848000
1613949329530	0.156000	0.247000	9.898000
1613949329533	0.230000	0.341000	9.858000
1613949329535	0.276000	0.343000	9.786000
1613949329538	0.235000	0.194000	9.987000
1613949329540	0.237000	0.295000	9.805000
1613949329543	0.237000	0.288000	9.903000
1613949329545	0.230000	0.352000	9.853000
1613949329548	0.273000	0.266000	9.846000
1613949329551	0.223000	0.300000	9.951000
1613949329553	0.261000	0.240000	9.891000
1613949329556	0.273000	0.278000	9.860000
1613949329558	0.237000	0.309000	9.834000
1613949329561	0.249000	0.331000	9.862000
