TStamp Europe/Zagreb	X [rad/s]	Y [rad/s]	Z [rad/s]
1613949329421	0.000220	0.003121	0.001676
1613949329424	-0.001780	0.006121	0.000676
1613949329426	-0.000780	0.000121	-0.000324
1613949329429	0.001220	-0.001879	-0.000324
1613949329431	-0.000780	-0.002879	0.002676
1613949329434	-0.002780	-0.001879	0.000676
1613949329436	-0.000780	0.003121	0.000676
1613949329439	0.000220	0.004121	0.001676
1613949329441	0.001220	0.001121	0.000676
1613949329444	-0.001780	-0.000879	-0.001324
1613949329446	-0.001780	0.000121	0.000676
1613949329449	0.000220	0.000121	-0.001324
1613949329451	-0.000780	0.001121	-0.001324
1613949329454	0.001220	0.001121	-0.004324
1613949329457	0.000220	0.002121	0.001676
1613949329459	0.000220	0.003121	-0.000324
1613949329462	0.000220	0.002121	-0.001324
1613949329464	-0.003780	0.000121	0.001676
1613949329467	-0.000780	0.001121	-0.001324
1613949329469	-0.000780	0.000121	-0.001324
1613949329472	0.002220	-0.000879	-0.000324
1613949329474	0.002220	-0.004879	-0.001324
1613949329477	-0.001780	-0.003879	-0.000324
1613949329479	-0.001780	0.001121	0.000676
1613949329482	0.001220	0.001121	0.000676
1613949329485	-0.001780	-0.000879	0.000676
1613949329487	0.000220	0.004121	-0.000324
1613949329490	-0.002780	0.002121	0.000676
1613949329492	-0.001780	-0.002879	-0.000324
1613949329495	0.001220	-0.000879	0.000676
1613949329497	0.000220	-0.002879	-0.000324
1613949329500	-0.000780	0.000121	-0.000324
1613949329502	0.001220	-0.001879	0.001676
1613949329505	0.001220	-0.003879	0.000676
1613949329507	0.000220	0.000121	0.000676
1613949329510	-0.002780	0.000121	-0.000324
1613949329512	0.001220	-0.002879	-0.001324
1613949329515	0.000220	-0.002879	-0.001324
1613949329518	-0.000780	0.000121	-0.000324
1613949329520	0.001220	0.001121	-0.000324
1613949329523	-0.001780	-0.000879	0.001676
1613949329525	-0.002780	0.000121	0.001676
1613949329528	0.000220	0.000121	0.000676
1613949329530	0.000220	0.003121	0.001676
1613949329533	-0.000780	0.001121	0.000676
1613949329535	-0.000780	-0.000879	-0.000324
1613949329538	0.000220	0.000121	0.000676
1613949329540	0.001220	0.000121	0.000676
1613949329543	0.003220	-0.001879	0.001676
1613949329545	0.002220	-0.000879	0.000676
1613949329548	0.001220	0.002121	-0.000324
1613949329551	-0.001780	-0.000879	0.000676
1613949329553	-0.001780	-0.001879	-0.000324
1613949329556	-0.000780	-0.002879	-0.001324
1613949329558	-0.003780	0.002121	-0.000324
1613949329561	-0.001780	0.000121	0.000676
1613949329563	0.000220	-0.000879	0.001676
1613949329566	-0.000780	-0.001879	0.001676
1613949329568	-0.000780	0.001121	-0.000324
1613949329573	-0.001780	0.000121	-0.003324
1613949329571	-0.001780	0.003121	-0.003324
1613949329576	0.001220	-0.000879	-0.000324
1613949329579	0.001220	-0.001879	0.001676
1613949329581	-0.002780	-0.002879	-0.001324
1613949329584	-0.001780	-0.001879	-0.001324
1613949329586	0.001220	0.000121	-0.001324
1613949329589	-0.000780	0.003121	-0.000324
1613949329591	-0.000780	0.000121	-0.001324
1613949329594	-0.003780	-0.001879	0.000676
1613949329596	-0.002780	0.001121	-0.000324
1613949329599	0.000220	0.001121	0.001676
1613949329601	0.000220	0.000121	0.001676
1613949329604	-0.000780	0.002121	-0.003324
1613949329606	0.000220	-0.000879	-0.001324
1613949329609	-0.000780	-0.000879	0.000676
1613949329612	0.000220	0.001121	-0.001324
1613949329614	0.000220	0.000121	0.001676
1613949329617	0.000220	-0.001879	0.001676
1613949329619	0.000220	-0.001879	-0.001324
1613949329622	-0.001780	0.000121	-0.000324
1613949329624	0.000220	-0.000879	0.004676
1613949329627	-0.001780	0.000121	0.000676
1613949329629	-0.001780	-0.001879	-0.000324
1613949329632	0.003220	0.001121	0.002676
1613949329634	-0.000780	0.002121	0.004676
1613949329637	-0.001780	-0.001879	-0.000324
1613949329639	0.001220	-0.002879	-0.001324
1613949329642	0.002220	0.003121	0.000676
1613949329645	-0.000780	-0.003879	-0.000324
1613949329647	-0.001780	-0.002879	-0.000324
1613949329650	-0.001780	-0.000879	-0.002324
1613949329652	0.001220	-0.001879	-0.001324
1613949329655	0.002220	-0.000879	-0.001324
1613949329657	-0.001780	0.000121	0.000676
1613949329660	-0.000780	0.001121	0.002676
1613949329662	0.002220	0.000121	0.000676
1613949329665	-0.000780	-0.001879	-0.000324
1613949329667	-0.002780	-0.002879	0.000676
1613949329670	-0.001780	0.000121	0.000676
1613949329672	0.001220	-0.001879	0.001676
1613949329675	0.002220	-0.000879	0.000676
1613949329678	0.000220	0.001121	0.001676
1613949329680	0.000220	0.001121	-0.001324
1613949329683	0.000220	0.001121	-0.001324
1613949329685	-0.000780	-0.001879	0.001676
1613949329688	-0.002780	-0.000879	0.003676
1613949329690	-0.001780	0.000121	-0.000324
1613949329693	0.000220	0.000121	-0.001324
1613949329695	-0.000780	0.002121	-0.000324
1613949329698	-0.000780	0.000121	-0.000324
1613949329700	0.000220	0.001121	0.003676
1613949329703	0.001220	0.000121	-0.000324
1613949329706	0.000220	-0.000879	-0.001324
1613949329708	-0.002780	-0.001879	0.001676
1613949329711	-0.003780	0.000121	0.001676
1613949329716	0.001220	-0.001879	0.000676
1613949329713	0.001220	0.001121	0.000676
1613949329718	-0.001780	-0.003879	0.001676
1613949329721	-0.000780	0.001121	0.000676
1613949329723	0.000220	0.001121	-0.000324
1613949329726	0.000220	0.001121	-0.000324
1613949329728	0.000220	0.001121	-0.000324
1613949329731	-0.000782	0.001127	0.000672
1613949329733	-0.000782	0.000127	0.000672
1613949329736	0.001217	0.000127	0.000672
1613949329741	-0.002783	-0.002873	-0.000328
1613949329739	-0.000782	-0.001873	-0.000328
1613949329744	-0.001783	-0.000873	0.001672
1613949329746	-0.000782	0.001127	-0.000328
1613949329749	-0.001783	0.003127	-0.000328
1613949329751	0.001217	0.001127	-0.000328
1613949329754	0.001217	0.000127	-0.000328
1613949329756	0.000217	0.001127	-0.000328
1613949329759	0.001217	-0.000873	-0.000328
1613949329761	0.000217	0.001127	-0.000328
1613949329764	0.001217	-0.001873	-0.002328
1613949329766	0.000217	-0.001873	-0.002328
1613949329769	-0.000782	0.002127	0.000672
1613949329772	-0.001783	0.001127	-0.000328
1613949329774	-0.001783	0.000127	-0.000328
1613949329777	-0.002783	-0.001873	-0.000328
1613949329779	-0.001783	-0.000873	-0.001328
1613949329782	-0.000782	-0.001873	0.000672
1613949329784	0.002217	0.001127	-0.001328
1613949329787	-0.000782	-0.000873	-0.000328
1613949329789	-0.001783	0.000127	-0.000328
1613949329792	0.000217	0.001127	0.000672
1613949329794	-0.001783	-0.000873	0.001672
1613949329797	-0.000782	-0.000873	-0.000328
1613949329800	0.001217	0.000127	-0.001328
1613949329802	-0.000782	0.001127	0.000672
1613949329805	-0.000782	0.001127	0.002672
1613949329807	-0.000782	0.000127	0.000672
1613949329810	0.000217	0.002127	-0.000328
1613949329812	0.000217	0.004127	0.000672
1613949329815	0.001217	0.002127	-0.000328
1613949329817	0.002217	-0.000873	0.002672
1613949329820	0.003217	0.001127	0.000672
1613949329822	-0.000782	0.003127	-0.001328
1613949329825	-0.004782	-0.001873	0.002672
1613949329827	0.002217	-0.000873	0.000672
1613949329830	0.002217	0.003127	0.000672
1613949329833	0.000217	0.000127	0.001672
1613949329835	-0.002783	-0.000873	0.001672
1613949329838	0.000217	0.003127	-0.000328
1613949329840	0.000217	0.004127	-0.000328
1613949329843	0.000217	0.002127	0.000672
1613949329845	-0.000782	0.000127	0.000672
1613949329848	-0.000782	0.000127	-0.000328
1613949329850	-0.002783	0.002127	0.000672
1613949329853	-0.001783	-0.001873	0.002672
1613949329855	0.000217	-0.003873	0.001672
1613949329858	0.000217	-0.000873	0.000672
1613949329860	0.001217	-0.002873	-0.001328
1613949329863	-0.000782	-0.002873	-0.000328
1613949329866	-0.001783	-0.000873	0.000672
1613949329868	-0.000782	0.001127	0.000672
1613949329871	-0.001783	0.002127	0.001672
1613949329873	-0.002783	0.000127	0.002672
1613949329876	-0.000782	-0.000873	0.000672
1613949329878	-0.001783	-0.000873	0.000672
1613949329881	-0.001783	0.000127	-0.000328
1613949329883	-0.000782	-0.001873	-0.000328
1613949329886	-0.000782	0.002127	-0.000328
1613949329888	0.000217	-0.000873	-0.001328
1613949329891	-0.000782	-0.001873	-0.000328
1613949329893	-0.000782	-0.002873	0.000672
1613949329896	-0.001783	-0.000873	0.000672
1613949329899	-0.002783	0.003127	-0.000328
1613949329901	-0.000782	0.003127	0.000672
1613949329904	-0.002783	0.000127	0.001672
1613949329906	-0.002783	-0.002873	0.001672
1613949329909	-0.001783	0.001127	0.000672
1613949329911	-0.000782	0.000127	-0.000328
1613949329914	-0.000782	0.000127	0.001672
1613949329916	-0.000782	0.000127	0.000672
1613949329919	-0.000782	0.000127	-0.000328
1613949329921	-0.000782	0.003127	-0.000328
1613949329924	-0.002783	0.000127	-0.003328
1613949329927	-0.000782	-0.000873	-0.000328
1613949329929	0.000217	0.000127	-0.000328
1613949329932	0.001217	-0.000873	0.000672
1613949329934	0.000217	0.001127	0.000672
1613949329937	0.000217	-0.001873	-0.000328
1613949329939	-0.001783	-0.000873	-0.003328
1613949329942	0.000217	-0.001873	-0.001328
1613949329944	-0.000782	0.001127	0.002672
