TStamp Europe/Zagreb	X [µT]	Y [µT]	Z [µT]
1613949329426	-19.680000	-20.450001	-35.160000
1613949329446	-19.920000	-20.340000	-35.160000
1613949329466	-19.850000	-20.340000	-35.209999
1613949329486	-20.100000	-20.160000	-35.160000
1613949329505	-20.100000	-19.850000	-35.459999
1613949329525	-20.270000	-20.030001	-35.520000
1613949329545	-20.270000	-20.209999	-35.459999
1613949329565	-20.580000	-19.850000	-35.750000
1613949329585	-20.700001	-19.370001	-35.700001
1613949329606	-20.520000	-19.020000	-35.930000
1613949329626	-20.520000	-19.020000	-36.049999
1613949329646	-20.580000	-18.950001	-36.360001
1613949329666	-20.400000	-19.260000	-36.230000
1613949329685	-20.400000	-19.080000	-36.049999
1613949329705	-20.520000	-18.950001	-36.299999
1613949329725	-20.400000	-19.260000	-36.230000
1613949329745	-20.100000	-19.740000	-36.230000
1613949329766	-20.270000	-19.850000	-36.119999
1613949329786	-20.520000	-19.680000	-36.000000
1613949329806	-20.400000	-19.680000	-35.820000
1613949329826	-20.580000	-19.559999	-36.000000
1613949329846	-20.520000	-19.559999	-36.049999
1613949329865	-20.270000	-19.430000	-36.000000
1613949329886	-20.400000	-19.320000	-36.049999
1613949329905	-20.580000	-19.260000	-35.930000
1613949329926	-20.520000	-19.320000	-35.700001
1613949329946	-20.160000	-19.559999	-35.700001
1613949329966	-20.270000	-19.610001	-35.750000
1613949329986	-20.209999	-19.610001	-35.750000
1613949330006	-20.209999	-19.680000	-35.750000
1613949330026	-20.209999	-19.430000	-35.820000
1613949330045	-20.160000	-19.080000	-35.820000
1613949330065	-19.980000	-19.139999	-35.750000
1613949330086	-19.980000	-19.020000	-35.930000
1613949330105	-20.209999	-18.950001	-36.000000
1613949330126	-19.980000	-19.020000	-36.000000
1613949330145	-19.790001	-19.020000	-36.000000
1613949330165	-19.680000	-19.080000	-35.700001
1613949330185	-19.610001	-19.430000	-35.520000
1613949330205	-19.610001	-19.680000	-35.520000
1613949330225	-19.610001	-19.559999	-35.520000
1613949330246	-19.790001	-19.680000	-35.520000
1613949330266	-19.790001	-19.850000	-35.209999
1613949330286	-19.850000	-19.740000	-35.209999
1613949330305	-20.100000	-19.920000	-35.160000
1613949330325	-20.209999	-19.680000	-35.639999
1613949330345	-20.450001	-19.430000	-35.700001
1613949330365	-20.400000	-19.370001	-35.700001
1613949330385	-20.520000	-19.370001	-35.700001
1613949330406	-20.160000	-19.559999	-35.700001
1613949330426	-19.980000	-19.430000	-35.930000
1613949330446	-19.980000	-19.559999	-36.000000
1613949330466	-19.790001	-19.370001	-36.049999
1613949330485	-19.680000	-19.559999	-36.049999
1613949330505	-19.790001	-19.850000	-35.750000
1613949330525	-19.850000	-19.920000	-35.700001
1613949330546	-19.680000	-19.980000	-35.639999
1613949330566	-19.850000	-19.850000	-35.639999
1613949330586	-19.980000	-19.850000	-35.520000
1613949330606	-19.980000	-19.680000	-35.520000
1613949330626	-20.400000	-19.559999	-35.459999
1613949330646	-20.209999	-19.680000	-35.340000
1613949330665	-20.270000	-19.559999	-35.459999
1613949330685	-20.209999	-19.680000	-35.459999
1613949330705	-20.160000	-19.850000	-35.520000
1613949330725	-20.160000	-19.920000	-35.520000
1613949330745	-19.980000	-19.920000	-35.459999
1613949330766	-20.100000	-20.209999	-35.209999
1613949330785	-19.980000	-20.340000	-35.340000
1613949330805	-20.400000	-20.160000	-35.340000
1613949330826	-20.100000	-20.030001	-35.160000
1613949330846	-20.160000	-20.030001	-35.160000
1613949330866	-20.400000	-19.680000	-35.389999
1613949330886	-20.450001	-19.740000	-35.340000
1613949330906	-20.400000	-19.430000	-35.639999
1613949330926	-20.270000	-19.370001	-35.700001
1613949330945	-20.100000	-19.430000	-35.700001
1613949330965	-19.680000	-19.610001	-35.700001
1613949330985	-19.790001	-19.850000	-35.700001
1613949331005	-19.920000	-19.680000	-35.750000
1613949331026	-19.850000	-19.980000	-35.639999
1613949331046	-19.680000	-19.850000	-35.459999
1613949331066	-19.680000	-19.920000	-35.340000
1613949331086	-19.850000	-19.740000	-35.389999
1613949331105	-20.100000	-19.680000	-35.340000
1613949331125	-20.270000	-19.850000	-35.209999
1613949331145	-20.160000	-19.740000	-35.520000
1613949331165	-20.100000	-19.740000	-35.639999
1613949331185	-19.850000	-19.680000	-35.639999
1613949331205	-19.980000	-19.740000	-35.820000
1613949331226	-20.160000	-19.680000	-36.000000
1613949331246	-19.920000	-19.850000	-35.930000
1613949331266	-19.850000	-19.610001	-35.930000
1613949331286	-19.790001	-19.139999	-36.000000
1613949331306	-20.160000	-18.950001	-35.820000
1613949331326	-19.980000	-19.080000	-35.930000
1613949331346	-20.270000	-18.950001	-35.820000
1613949331366	-20.270000	-18.950001	-35.820000
1613949331386	-20.450001	-19.080000	-35.750000
1613949331406	-20.580000	-18.770000	-35.639999
1613949331425	-20.760000	-19.020000	-35.700001
1613949331446	-20.820000	-19.260000	-35.700001
1613949331466	-20.820000	-19.139999	-35.639999
1613949331486	-21.059999	-18.660000	-35.459999
1613949331506	-21.120001	-18.240000	-35.639999
1613949331526	-21.299999	-17.940001	-35.700001
1613949331545	-21.299999	-18.059999	-35.750000
1613949331566	-21.600000	-17.870001	-36.000000
1613949331585	-21.600000	-17.639999	-35.750000
1613949331605	-21.900000	-17.209999	-35.750000
1613949331625	-22.260000	-17.030001	-36.049999
1613949331645	-22.559999	-16.920000	-35.820000
1613949331666	-22.850000	-16.920000	-35.750000
1613949331686	-22.920000	-16.610001	-35.750000
1613949331706	-23.219999	-16.260000	-35.520000
1613949331726	-23.459999	-15.830000	-35.459999
1613949331746	-23.879999	-15.710000	-35.639999
1613949331765	-24.120001	-15.780000	-35.520000
1613949331785	-24.120001	-15.480000	-35.160000
